pub_date	title	venue	excerpt	citation	url_slug
 2020	 Learning variable-length representation of words	 Pattern Recognit.	 Debasis Ganguly	 volume 103		
 2020	 InfecTracer: Approximate Nearest Neighbors Retrieval of GPS Location Traces to Retrieve Susceptible Cases	 CoRR	 Chandan Biswas and Debasis Ganguly	 volume abs/2004.08851		
 2020	 Towards Socially Responsible AI: Cognitive Bias-Aware Multi-Objective Learning	 CoRR	 Procheta Sen and Debasis Ganguly	 volume abs/2005.06618		
 2019	 Estimating Gaussian mixture models in the local neighbourhood of embedded word vectors for query performance prediction	 Inf. Process. Manag.	 Dwaipayan Roy and Debasis Ganguly and Mandar Mitra and Gareth J. F. Jones	 volume 56		
 2019	 Extracting Factual Min/Max Age Information from Clinical Trial Studies	 CoRR	 Yufang Hou and Debasis Ganguly and L\'ea A. Deleris and Francesca Bonin	 volume abs/1904.03262		
 2019	 Identification of Tasks	 Datasets	 Yufang Hou and Charles Jochim and Martin Gleize and Francesca Bonin and Debasis Ganguly	 Evaluation Metrics		
 2018	 Retrieving and classifying instances of source code plagiarism	 Inf. Retr. J.	 Debasis Ganguly and Gareth J. F. Jones and Aar\'on Ram\'\irez-de-la-Cruz and Gabriela Ram\'\irez-de-la-Rosa and Esa\'u Villatoro-Tello	 volume 21		
 2018	 A non-parametric topical relevance model	 Inf. Retr. J.	 Debasis Ganguly and Gareth J. F. Jones	 volume 21		
 2018	 Exploitation of Social Media for Emergency Relief and Preparedness: Recent Research and Trends	 Inf. Syst. Frontiers	 Saptarshi Ghosh and Kripabandhu Ghosh and Debasis Ganguly and Tanmoy Chakraborty and Gareth J. F. Jones and Marie-Francine Moens and Muhammad Imran	 volume 20		
 2018	 An Embedding Based IR Model for Disaster Situations	 Inf. Syst. Frontiers	 Ayan Bandyopadhyay and Debasis Ganguly and Mandar Mitra and Sanjoy Kumar Saha and Gareth J. F. Jones	 volume 20		
 2018	 To Clean or Not to Clean: Document Preprocessing and Reproducibility	 J. Data and Information Quality	 Dwaipayan Roy and Mandar Mitra and Debasis Ganguly	 volume 10		
 2018	 A Fast Partitional Clustering Algorithm based on Nearest Neighbours Heuristics	 Pattern Recognit. Lett.	 Debasis Ganguly	 volume 112		
 2018	 Report on the Second Workshop on Exploitation of Social Media for Emergency Relief and Preparedness (SMERP 2018) at the Web Conference (WWW) 2018	 SIGIR Forum	 Saptarshi Ghosh and Kripabandhu Ghosh and Debasis Ganguly and Tanmoy Chakraborty and Gareth J. F. Jones and Marie-Francine Moens	 volume 52		
 2017	 ECIR 2017 Workshop on Exploitation of Social Media for Emergency Relief and Preparedness (SMERP 2017)	 SIGIR Forum	 Saptarshi Ghosh and Kripabandhu Ghosh and Debasis Ganguly and Tanmoy Chakraborty and Gareth J. F. Jones and Marie-Francine Moens	 volume 51		
